 ,名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,32角色,34投掷物，35掉落物101搜索对象 , 102移动, 103攻击 ， 150 内部节点】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型]1可读0可读写,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",真排序,节点版本控制：        0： 节点在全版本显示     .2： UGC2.0版本显示   3.  UGC3.0版本显示,备注
601104,数值组中的随机数值,6,11,6,1,%1中的随机数值,6,"1,1,0,1,1,0",,1,6,1064|0|0,,,,,,,,,,,,,,,,,,,,1617,,
601105,区域组中指定编号的区域,6,11,6,1,%1中编号为%2的区域,6,"1,1,0,1,1,0",,0,2,1063|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1618,,
601106,区域组中的随机区域,6,11,6,1,%1中的随机区域,6,"1,1,0,1,1,0",,1,2,1063|0|0,,,,,,,,,,,,,,,,,,,,1619,,
601107,对象组中指定编号的对象,6,11,6,1,%1中编号为%2的对象,6,"1,1,0,1,1,0",,0,47,1201|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1620,,
601108,对象组中的随机对象,6,11,6,1,%1中的随机对象,6,"1,1,0,1,1,0",,1,47,1201|0|0,,,,,,,,,,,,,,,,,,,,1621,,
601109,玩家组中指定编号的玩家,6,11,6,1,%1中编号为%2的玩家,6,"1,1,0,1,1,0",,0,17,1019|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1622,,
601110,玩家组中的随机玩家,6,11,6,1,%1中的随机玩家,6,"1,1,0,1,1,0",,1,17,1019|1|0,,,,,,,,,,,,,,,,,,,,1623,,
601111,生物组中指定编号的生物,6,11,6,1,%1中编号为%2的生物,6,"1,1,0,1,1,0",,0,30,1033|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1624,,
601112,生物组中的随机生物,6,11,6,1,%1中的随机生物,6,"1,1,0,1,1,0",,1,30,1033|1|0,,,,,,,,,,,,,,,,,,,,1625,,
601113,字符串组中指定编号的字符串,6,11,6,1,%1中编号为%2的字符串,6,"1,1,0,1,1,0",,0,11,1065|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1626,,
601114,字符串组中的随机字符串,6,11,6,1,%1中的随机字符串,6,"1,1,0,1,1,0",,1,11,1065|0|0,,,,,,,,,,,,,,,,,,,,1627,,
601115,生物类型组中指定编号的生物类型,6,11,6,1,%1中编号为%2的生物类型,6,"1,1,0,1,1,0",,0,31,1069|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1627,,
601116,生物类型组中的随机生物类型,6,11,6,1,%1中的随机生物类型,6,"1,1,0,1,1,0",,1,31,1069|0|0,,,,,,,,,,,,,,,,,,,,1627,,
601117,道具类型组中指定编号的道具类型,6,11,6,1,%1中编号为%2的道具类型,6,"1,1,0,1,1,0",,0,27,1068|0|0,,1005|1|0,1|1,,,,,,,,,,,,,2,,,,1628,,26寒假
601118,道具类型组中的随机道具类型,6,11,6,1,%1中的随机道具类型,6,"1,1,0,1,1,0",,1,27,1068|0|0,,,,,,,,,,,,,,,,2,,,,1628,,26寒假
601119,音效组中的随机音效,6,11,6,1,%1中的随机音效类型,6,"1,1,0,1,1,0",,1,45,3078|0|0,,,,,,,,,,,,,,,,2,,,,1629,,26.4
601115,弃用-获取对象组件属性,6,11,6,1,%1%2内的%3,6,"1,1,0,1,1,0",,1,,,,,,,,,,,,,,,,,,8,,,,1628,,
601201,计时器时间,6,12,6,1,%1的时间,,"1,1,0,1,1,0",,1,6,1040|1|0,,,,,,,,,,,,,,,,,,,,1702,,
601401,文字板,6,16,6,1,内容为%1的文字板，字体大小%2，不透明度%3%，编号%4,,"1,1,0,1,1,0",,1,56,1010|1|0,1|300142,1005|1|0,1|16,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,,,1703,,
601402,漂浮文字,6,16,6,1,内容为%1的漂浮文字，字体大小%2，编号%3,,"1,1,0,1,1,0",,1,56,1010|1|0,1|300142,1005|1|0,1|100,1005|1|0,1|1, ,,,,,,,,,,,,,,1704,,
601403,进度条,6,16,6,1,当前值%1、最大值%2的进度条，颜色%3，编号%4,,"1,1,0,1,1,0",,1,56,1005|1|0,1|100,1005|1|0,1|100,1056|1|0,1|0xF44336,1005|1|0,1|1,,,,,,,,,,,,,1705,,
601404,图片,6,16,6,1,图片为%1，大小为%2倍，不透明度为%3%，编号为%4,,"1,1,0,1,1,0",,1,56,1076|1|0,,1005|1|0,1|1,1005|1|0,1|100,1005|1|0,1|1,,,,,,,,,,,,,1706,,
601405,气泡板,6,16,6,1,内容为%1，编号为%2的气泡板,,"1,1,0,1,1,0",,1,56,1010|1|0,,1005|1|0,1|1,,,,,,,,,,,,,2,,,,1706,,26寒假
601410,道具类型的图标,6,16,6,0,%1的图标,,"1,1,0,1,1,0",,1,75,1028|1|0,2|12005,,,,,,,,,,,,,,,,,,,1707,,
601411,生物的图标,6,16,6,0,%1的图标,,"1,1,0,1,1,0",,1,75,1031|1|0,,,,,,,,,,,,,,,,,,,,1708,,
601412,生物类型的图标,6,16,6,0,%1的图标,,"1,1,0,1,1,0",,1,75,1032|1|0,2|3400,,,,,,,,,,,,,,,,,,,1709,,
601413,状态的图标,6,16,6,0,%1的图标,,"1,1,0,1,1,0",,1,75,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,1710,,
601414,方块类型的图标,6,16,6,0,%1的图标,,"1,1,0,1,1,0",,1,75,1025|1|0,2|200,,,,,,,,,,,,,,,,,,,1711,,
601415,玩家当前角色图标,6,16,6,0,当前%1角色的图标,,"1,1,0,1,1,0",,1,75,1018|1|0,,,,,,,,,,,,,,,,,,,,1712,,
601416,获取玩家快捷栏图标,6,16,6,0,%1快捷栏为%2的图标,,"1,1,0,1,1,0",,1,75,1018|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,1713,,
601417,生物类型的外观,6,4,6,1,%1的外观,5,"1,1,0,1,1,0",,1,59,1032|1|0,2|3400,,,,,,,,,,,,,,,2,,,,1714,,
601418,方块类型的外观,6,5,6,1,%1的外观,5,"1,1,0,1,1,0",,1,59,1025|1|0,2|200,,,,,,,,,,,,,,,2,,,,1715,,
602201,位置到位置的方向,6,22,6,1,%1到%2的方向,,"1,1,0,1,1,0",,1,46,1002|1|0,,1002|1|0,,,,,,,,,,,,,,,,,,,,
602202,玩家准心所指的方向,6,22,6,1,%1准心所指的方向,,"1,1,0,1,1,0",,1,46,1018|1|0,,,,,,,,,,,,,,,,,,,,,,
602203,射线打到的位置,6,22,6,1,从%1向%2发射%3格的射线打到的%4的位置,,"1,1,0,1,1,0",,1,3,1002|1|0,,1047|1|0,5|350005,1005|1|0,1|10,1157|1|2,5|1560001,,,,,,,,,,,,,,,
602204,激光笔打到的位置,6,22,6,1,%1激光笔打到的位置,,"1,1,0,1,1,0",,1,3,1018|1|0,,,,,,,,,,,,,,,,,,,,,,
610101,弃用-获取对象位置,6,2,6,1,获取%1位置,,"1,1,0,1,1,0",,1,3,1048|1|0,,,,,,,,,,,,,,,,8,,,,1714,,
610102,弃用-寻找最近对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600102,1106|1|0,5|730001,,,,,,,8,,,,1715,,
610103,弃用-寻找周边对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4%5,,"1,1,0,1,1,0",,1,201,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600102,1106|1|0,5|730001,,,,,,,8,,,,1716,,
610104,弃用-获取周边对象数量,6,101,6,1,以%1为参照物，寻找%2%3格内%4%5数量,,"1,1,0,1,1,0",,1,6,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600102,1106|1|0,5|730001,,,,,,,8,,,,1717,,
610105,弃用-寻找区域内所有对象,6,101,6,1,以%1为参照物，寻找区域%2内%3的所有%4,,"1,1,0,1,1,0",,1,201,1048|1|0,3|600101,1001|1|0,,1208|1|0,3|600102,1106|1|0,5|730001,,,,,,,,,8,,,,1718,,
610106,寻找最近对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4最近的对象。视线阻挡：%5，路径阻挡：%6,,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600102,1013|1|2,5|100001,1013|1|2,5|100001,,,,,,,,,1719,,
610107,寻找指定状态的对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4最近%5的对象。视线阻挡：%6，路径阻挡：%7,5,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600102,1037|1|0,2|4001,1013|1|2,5|100001,1013|1|2,5|100001,,,,,,,1720,,
610108,寻找手持指定道具类型的对象,6,101,6,1,"以%1为参照物，寻找%2%3格内%4最近手持%5的对象,视线阻挡：%6，路径阻挡：%7",,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|5,1208|1|0,3|600102,1028|1|0,2|200,1013|1|2,5|100001,1013|1|2,5|100001,,,,,,,1721,,
610109,寻找手持指定道具分类的对象,6,101,6,1,"以%1为参照物，寻找%2%3格内%4手持%5的最近对象,视线阻挡：%6，路径阻挡：%7",,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|5,1208|1|0,3|600102,3141|1|2,5|4410000,1013|1|2,5|100001,1013|1|2,5|100001,,,,,,,1722,,
610110,寻找最近带标签的对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4最近包含%8%5的对象。视线阻挡：%6，路径阻挡：%7,5,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600102,3149|1|0,,1013|1|2,5|100001,1013|1|2,5|100001,3147|0|2,5|4470002,2,,,,1715,,
610111,寻找手持指定道具类型组的对象,6,101,6,1,"以%1为参照物，寻找%2%3格内%4最近手持%5的对象,视线阻挡：%6，路径阻挡：%7",,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|5,1208|1|0,3|600102,1068|1|0,,1013|1|2,5|100001,1013|1|2,5|100001,,,2,,,,1721,,26寒假
615001,内部-获取主基地位置,6,101,6,1,获取主基地位置,12,"1,1,0,1,1,0",,1,3,,,,,,,,,,,,,,,,,2,,,,1723,,
615002,内部-气泡板-获取指定ID配置,6,2,6,1,获取%1ID的气泡内容,,"1,1,0,1,1,0",,1,56,1005|1|0,1|1,,,,,,,,,,,,,,,2,,,,5000,,26寒假
615003,内部-气泡板-随机获取指定组配置,6,2,6,1,获取%1组的随机气泡内容,,"1,1,0,1,1,0",,1,56,1005|1|0,1|1,,,,,,,,,,,,,,,2,,,,5001,,26寒假
615004,内部-获取当前工作区域,6,2,6,1,获取%1的工作区域中心,,"1,1,0,1,1,0",,1,3,1031|1|0,3|600400,,,,,,,,,,,,,,,2,,,,5002,,26寒假
615005,内部-获取村庄图腾位置,6,2,6,1,获取%1的村庄图腾位置,,"1,1,0,1,1,0",,1,3,1031|1|0,3|600400,,,,,,,,,,,,,,,2,,,,5003,,26寒假
615006,内部-获取剩余睡觉时间,6,2,6,1,获取剩余睡觉时间,,"1,1,0,1,1,0",,1,6,,,,,,,,,,,,,,,,,2,,,,5003,,26寒假
615007,内部-获取村庄内食物位置,6,2,6,1,获取%1村庄内食物位置,,"1,1,0,1,1,0",,1,3,1031|1|0,3|600400,,,,,,,,,,,,,,,2,,,,5003,,26寒假
615008,内部-获取村庄含特定道具的箱子位置,6,2,6,1,获取%1村庄内含有%2道具的箱子位置,,"1,1,0,1,1,0",,1,3,1031|1|0,3|600400,1028|1|0,,,,,,,,,,,,,,2,,,,,,26寒假
615009,内部-获取村民床的位置,6,2,6,1,获取%1村庄内床的位置,,"1,1,0,1,1,0",,1,3,1031|1|0,3|600400,,,,,,,,,,,,,,,2,,,,,,26寒假
615010,内部-获取生物窝的位置,6,2,6,1,寻找%1%2格内空窝的位置,,"1,1,0,1,1,0",,1,3,1031|1|0,3|600400,1005|1|0,1|20,,,,,,,,,,,,,2,,,,,,26寒假
700003,行为树变量（数值）,7,101,7,0,,,"1,1,0,1,1,0",,,6,,,,,,,,,,,,,,,,,,,,,,,
700020,行为树变量（数值组）,7,101,7,0,,,"1,1,0,1,1,0",,,63,,,,,,,,,,,,,,,,,,,,,,,
700004,行为树变量（字符串）,7,102,7,0,,,"1,1,0,1,1,0",,,11,,,,,,,,,,,,,,,,,,,,,,,
700021,行为树变量（字符串组）,7,102,7,0,,,"1,1,0,1,1,0",,,64,,,,,,,,,,,,,,,,,,,,,,,
700009,行为树变量（玩家）,7,103,7,0,,,"1,1,0,1,1,0",,,17,,,,,,,,,,,,,,,,,,,,,,,
700010,行为树变量（玩家组）,7,103,7,0,,,"1,1,0,1,1,0",,,18,,,,,,,,,,,,,,,,,,,,,,,
700013,行为树变量（生物）,7,104,7,0,,,"1,1,0,1,1,0",,,30,,,,,,,,,,,,,,,,,,,,,,,
700015,行为树变量（生物组）,7,104,7,0,,,"1,1,0,1,1,0",,,32,,,,,,,,,,,,,,,,,,,,,,,
700006,行为树变量（对象）,7,105,7,0,,,"1,1,0,1,1,0",,,47,,,,,,,,,,,,,,,,,,,,,,,
700008,行为树变量（对象组）,7,105,7,0,,,"1,1,0,1,1,0",,,201,,,,,,,,,,,,,,,,,,,,,,,
700005,行为树变量（布尔值）,7,107,7,0,,,"1,1,0,1,1,0",,,13,,,,,,,,,,,,,,,,,,,,,,,
700022,行为树变量（布尔值组）,7,107,7,0,,,"1,1,0,1,1,0",,,65,,,,,,,,,,,,,,,,,,,,,,,
700002,行为树变量（位置）,7,108,7,0,,,"1,1,0,1,1,0",,,3,,,,,,,,,,,,,,,,,,,,,,,
700018,行为树变量（位置组）,7,108,7,0,,,"1,1,0,1,1,0",,,61,,,,,,,,,,,,,,,,,,,,,,,
700001,行为树变量（区域）,7,109,7,0,,,"1,1,0,1,1,0",,,2,,,,,,,,,,,,,,,,,,,,,,,
700019,行为树变量（区域组）,7,109,7,0,,,"1,1,0,1,1,0",,,62,,,,,,,,,,,,,,,,,,,,,,,
700028,行为树变量（投掷物）,7,111,7,0,,,"1,1,0,1,1,0",,,43,,,,,,,,,,,,,,,,,,,,,,,
700029,行为树变量（投掷物组）,7,111,7,0,,,"1,1,0,1,1,0",,,360,,,,,,,,,,,,,,,,,,,,,,,
700031,行为树变量（掉落物),7,112,7,0,变量模板（掉落物),,"1,1,0,1,1,0",,0,29,,,,,,,,,,,,,,,,,,,,,,,
700032,行为树变量（掉落物组),7,112,7,0,变量模板（掉落物组),,"1,1,0,1,1,0",,0,361,,,,,,,,,,,,,,,,,,,,,,,
700011,行为树变量（方块类型）,7,113,7,0,,,"1,1,0,1,1,0",,,24,,,,,,,,,,,,,,,,,,,,,,,
700023,行为树变量（方块类型组）,7,113,7,0,,,"1,1,0,1,1,0",,,66,,,,,,,,,,,,,,,,,,,,,,,
700012,行为树变量（道具类型）,7,114,7,0,,,"1,1,0,1,1,0",,,27,,,,,,,,,,,,,,,,,,,,,,,
700024,行为树变量（道具类型组）,7,114,7,0,,,"1,1,0,1,1,0",,,67,,,,,,,,,,,,,,,,,,,,,,,
700014,行为树变量（生物类型）,7,115,7,0,,,"1,1,0,1,1,0",,,31,,,,,,,,,,,,,,,,,,,,,,,
700025,行为树变量（生物类型组）,7,115,7,0,,,"1,1,0,1,1,0",,,68,,,,,,,,,,,,,,,,,,,,,,,
700017,行为树变量（特效类型）,7,117,7,0,,,"1,1,0,1,1,0",,,44,,,,,,,,,,,,,,,,,,,,,,,
700027,行为树变量（特效类型组）,7,117,0,0,,,"1,1,0,1,1,0",,,70,,,,,,,,,,,,,,,,,,,,,,,
700016,行为树变量（计时器）,7,120,7,0,,,"1,1,0,1,1,0",,,39,,,,,,,,,,,,,,,,,,,,,,,
700026,行为树变量（计时器组）,7,120,7,0,,,"1,1,0,1,1,0",,,69,,,,,,,,,,,,,,,,,,,,,,,
700033,行为树变量（音效),7,121,7,0,变量模板（音效),,"1,1,0,1,1,0",,,45,,,,,,,,,,,,,,,,,,,,,,,
700034,行为树变量（音效组),7,121,7,0,变量模板（音效组),,"1,1,0,1,1,0",,,378,,,,,,,,,,,,,,,,,,,,,,3,
708003,全局变量模板（数值）,7,101,8,0,,,"1,1,0,1,1,0",,,6,,,,,,,,,,,,,,,,,,,,,,,
708017,全局变量模板（数值组）,7,101,8,0,,,"1,1,0,1,1,0",,,63,,,,,,,,,,,,,,,,,,,,,,,
708004,全局变量模板（字符串）,7,102,8,0,,,"1,1,0,1,1,0",,,11,,,,,,,,,,,,,,,,,,,,,,,
708018,全局变量模板（字符串组）,7,102,8,0,,,"1,1,0,1,1,0",,,64,,,,,,,,,,,,,,,,,,,,,,,
708006,全局变量模板（玩家）,7,103,8,0,,,"1,1,0,1,1,0",,,17,,,,,,,,,,,,,,,,,,,,,,,
708007,全局变量模板（玩家组）,7,103,8,0,,,"1,1,0,1,1,0",,,18,,,,,,,,,,,,,,,,,,,,,,,
708010,全局变量模板（生物）,7,104,8,0,,,"1,1,0,1,1,0",,,30,,,,,,,,,,,,,,,,,,,,,,,
708012,全局变量模板（生物组）,7,104,8,0,,,"1,1,0,1,1,0",,,32,,,,,,,,,,,,,,,,,,,,,,,
708005,全局变量模板（布尔值）,7,107,8,0,,,"1,1,0,1,1,0",,,13,,,,,,,,,,,,,,,,,,,,,,,
708019,全局变量模板（布尔值组）,7,107,8,0,,,"1,1,0,1,1,0",,,65,,,,,,,,,,,,,,,,,,,,,,,
708002,全局变量模板（位置）,7,108,8,0,,,"1,1,0,1,1,0",,,3,,,,,,,,,,,,,,,,,,,,,,,
708015,全局变量模板（位置组）,7,108,8,0,,,"1,1,0,1,1,0",,,61,,,,,,,,,,,,,,,,,,,,,,,
708001,全局变量模板（区域）,7,109,8,0,,,"1,1,0,1,1,0",,,2,,,,,,,,,,,,,,,,,,,,,,,
708016,全局变量模板（区域组）,7,109,8,0,,,"1,1,0,1,1,0",,,62,,,,,,,,,,,,,,,,,,,,,,,
708025,全局变量模板（投掷物）,7,111,8,0,,,"1,1,0,1,1,0",,,43,,,,,,,,,,,,,,,,,,,,,,3,
708026,全局变量模板（投掷物组）,7,111,8,0,,,"1,1,0,1,1,0",,,360,,,,,,,,,,,,,,,,,,,,,,3,
708027,全局变量模板（掉落物),7,112,8,0,变量模板（掉落物),,"1,1,0,1,1,0",,0,29,,,,,,,,,,,,,,,,,,,,,,3,
708028,全局变量模板（掉落物组),7,112,8,0,变量模板（掉落物组),,"1,1,0,1,1,0",,0,361,,,,,,,,,,,,,,,,,,,,,,3,
708008,全局变量模板（方块类型）,7,113,8,0,,,"1,1,0,1,1,0",,,24,,,,,,,,,,,,,,,,,,,,,,,
708020,全局变量模板（方块类型组）,7,113,8,0,,,"1,1,0,1,1,0",,,66,,,,,,,,,,,,,,,,,,,,,,,
708009,全局变量模板（道具类型）,7,114,8,0,,,"1,1,0,1,1,0",,,27,,,,,,,,,,,,,,,,,,,,,,,
708021,全局变量模板（道具类型组）,7,114,8,0,,,"1,1,0,1,1,0",,,67,,,,,,,,,,,,,,,,,,,,,,,
708011,全局变量模板（生物类型）,7,115,8,0,,,"1,1,0,1,1,0",,,31,,,,,,,,,,,,,,,,,,,,,,,
708022,全局变量模板（生物类型组）,7,115,8,0,,,"1,1,0,1,1,0",,,68,,,,,,,,,,,,,,,,,,,,,,,
708014,全局变量模板（特效类型）,7,117,8,0,,,"1,1,0,1,1,0",,,44,,,,,,,,,,,,,,,,,,,,,,,
708024,全局变量模板（特效类型组）,7,117,8,0,,,"1,1,0,1,1,0",,,70,,,,,,,,,,,,,,,,,,,,,,,
708013,全局变量模板（计时器）,7,120,8,0,,,"1,1,0,1,1,0",,,39,,,,,,,,,,,,,,,,,,,,,,,
708023,全局变量模板（计时器组）,7,120,8,0,,,"1,1,0,1,1,0",,,69,,,,,,,,,,,,,,,,,,,,,,,
708029,全局变量模板（图片),7,118,8,0,变量模板（图片),,"1,1,0,1,1,0",,0,75,,,,,,,,,,,,,,,,,,,,,,3,
708030,全局变量模板（图片组),7,118,8,0,变量模板（图片组),,"1,1,0,1,1,0",,0,437,,,,,,,,,,,,,,,,,,,,,,3,
708031,全局变量模板（状态),7,119,8,0,变量模板（状态),,"1,1,0,1,1,0",,0,36,,,,,,,,,,,,,,,,,,,,,,3,
708032,全局变量模板（状态组),7,119,8,0,变量模板（状态组),,"1,1,0,1,1,0",,0,359,,,,,,,,,,,,,,,,,,,,,,3,
708033,变量模板（音效),7,121,8,0,变量模板（音效),,"1,1,0,1,1,0",,0,45,,,,,,,,,,,,,,,,,,,,,,3,
708034,变量模板（音效组),7,121,8,0,变量模板（音效组),,"1,1,0,1,1,0",,0,378,,,,,,,,,,,,,,,,,,,,,,3,
