任务ID,名称,类型（0=主线、1=支线、2=成就、3=科技树）,描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加道具文本，默认颜色#c7bbe3a),任务目标(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),奖励（成就型任务只读取index=1的奖励）,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),继承存量已完成任务id,条件记录方式（科技树专用）,能否预完成（0=允许，1=不允许）,是否上报服务器（0=不上报，1=上报）,上报参数1,上报参数2
400142,青石建筑,3,"[
{
""String"" : ""获得@item_11595#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11595"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":105,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":503,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":506,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":549,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":290,""RewardTypeShow"":1}
]",1,11595,,[],1,,0,,
400143,硫磺岩建筑,3,"[
{
""String"" : ""获得@item_124#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_124"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":512,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":532,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":537,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":538,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":890,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":897,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":156,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":1248,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":1275,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":1319,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":1359,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":170005,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":171005,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":172005,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":174005,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":176005,""RewardTypeShow"":0}
]",1,124,,[],1,,0,,
400144,曙光建筑,3,"[
{
""String"" : ""获得@item_11206#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11206"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":536,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":899,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":900,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":933,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":936,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":898,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":862,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":863,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":864,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":865,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":866,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":867,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":868,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":869,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":870,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":871,""RewardTypeShow"":0},
{""Index"":17,""RewardType"":2,""RewardID"":872,""RewardTypeShow"":0},
{""Index"":18,""RewardType"":2,""RewardID"":873,""RewardTypeShow"":0},
{""Index"":19,""RewardType"":2,""RewardID"":874,""RewardTypeShow"":0},
{""Index"":20,""RewardType"":2,""RewardID"":875,""RewardTypeShow"":0},
{""Index"":21,""RewardType"":2,""RewardID"":876,""RewardTypeShow"":0},
{""Index"":22,""RewardType"":2,""RewardID"":877,""RewardTypeShow"":0},
{""Index"":23,""RewardType"":2,""RewardID"":290,""RewardTypeShow"":0},
{""Index"":24,""RewardType"":2,""RewardID"":291,""RewardTypeShow"":0},
{""Index"":25,""RewardType"":2,""RewardID"":297,""RewardTypeShow"":0},
{""Index"":26,""RewardType"":2,""RewardID"":300,""RewardTypeShow"":0},
{""Index"":27,""RewardType"":2,""RewardID"":861,""RewardTypeShow"":0},
{""Index"":28,""RewardType"":2,""RewardID"":1103,""RewardTypeShow"":0},
{""Index"":29,""RewardType"":2,""RewardID"":1110,""RewardTypeShow"":0}
]",1,11206,,[],1,,0,,
400145,水泥建筑,3,"[
{
""String"" : ""获得@item_101#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_101"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":666,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":547,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":510,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":530,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":155,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":1247,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":1273,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":1317,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":1358,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":170004,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":171004,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":172004,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":174004,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":176004,""RewardTypeShow"":0}
]",1,101,,[],1,,0,,
400146,黄沙建筑,3,"[
{
""String"" : ""获得@item_29#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_29"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":423,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":424,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":507,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":527,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":12054,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":599,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":172,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":1264,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":1307,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":1351,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":1375,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":170021,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":171021,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":172021,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":174021,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":176021,""RewardTypeShow"":0},
{""Index"":17,""RewardType"":2,""RewardID"":108,""RewardTypeShow"":0},
{""Index"":18,""RewardType"":2,""RewardID"":541,""RewardTypeShow"":0},
{""Index"":19,""RewardType"":2,""RewardID"":540,""RewardTypeShow"":0}
]",1,29,,[],1,,0,,
400147,精制石建筑,3,"[
{
""String"" : ""获得@item_104#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_104"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":511,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":531,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":968,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":973,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":978,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":1201,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":390,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":1755,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":1756,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":158,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":1250,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":1279,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":1323,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":1361,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":170007,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":171007,""RewardTypeShow"":0},
{""Index"":17,""RewardType"":2,""RewardID"":172007,""RewardTypeShow"":0},
{""Index"":18,""RewardType"":2,""RewardID"":174007,""RewardTypeShow"":0},
{""Index"":19,""RewardType"":2,""RewardID"":176007,""RewardTypeShow"":0},
{""Index"":20,""RewardType"":2,""RewardID"":200378,""RewardTypeShow"":0},
{""Index"":21,""RewardType"":2,""RewardID"":501,""RewardTypeShow"":0},
{""Index"":22,""RewardType"":2,""RewardID"":200001,""RewardTypeShow"":0},
{""Index"":23,""RewardType"":2,""RewardID"":422,""RewardTypeShow"":0},
{""Index"":24,""RewardType"":2,""RewardID"":551,""RewardTypeShow"":0},
{""Index"":25,""RewardType"":2,""RewardID"":200008,""RewardTypeShow"":0},
{""Index"":26,""RewardType"":2,""RewardID"":504,""RewardTypeShow"":0},
{""Index"":27,""RewardType"":2,""RewardID"":683,""RewardTypeShow"":0},
{""Index"":28,""RewardType"":2,""RewardID"":684,""RewardTypeShow"":0}
]",1,104,,[],1,,0,,
400148,树枝配方,3,"[
{
""String"" : ""获得@item_11911#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11911"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":333,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":335,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":337,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":339,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":341,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":343,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":479,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":350,""RewardTypeShow"":0}
]",1,11911,,[],1,,0,,
400149,炽炎建筑,3,"[
{
""String"" : ""获得@item_11207#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11207"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":935,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":410,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":11207,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":857,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":895,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":751,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":755,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":163,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":1255,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":1289,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":1333,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":1366,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":170012,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":171012,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":172012,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":174012,""RewardTypeShow"":0},
{""Index"":17,""RewardType"":2,""RewardID"":176012,""RewardTypeShow"":0}
]",1,11207,,[],1,,0,,
400150,白雪建筑,3,"[
{
""String"" : ""获得@item_115#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_115"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":122,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":160001,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":115,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":163001,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":165001,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":167001,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":164001,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":162001,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":122,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":170024,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":171024,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":172024,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":174024,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":176024,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":161001,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":163002,""RewardTypeShow"":0},
{""Index"":17,""RewardType"":2,""RewardID"":169001,""RewardTypeShow"":0},
{""Index"":18,""RewardType"":2,""RewardID"":165002,""RewardTypeShow"":0},
{""Index"":19,""RewardType"":2,""RewardID"":167002,""RewardTypeShow"":0},
{""Index"":20,""RewardType"":2,""RewardID"":164002,""RewardTypeShow"":0},
{""Index"":21,""RewardType"":2,""RewardID"":162002,""RewardTypeShow"":0},
{""Index"":22,""RewardType"":2,""RewardID"":170025,""RewardTypeShow"":0},
{""Index"":23,""RewardType"":2,""RewardID"":171025,""RewardTypeShow"":0},
{""Index"":24,""RewardType"":2,""RewardID"":172025,""RewardTypeShow"":0},
{""Index"":25,""RewardType"":2,""RewardID"":174025,""RewardTypeShow"":0},
{""Index"":26,""RewardType"":2,""RewardID"":176025,""RewardTypeShow"":0}
]",1,115,,[],1,,0,,
400151,星球岩建筑,3,"[
{
""String"" : ""获得@item_115#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_116"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":570,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":571,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":572,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":573,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":152,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":1244,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":1267,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":1311,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":1355,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":170001,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":171001,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":172001,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":174001,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":176001,""RewardTypeShow"":0}
]",1,116,,[],1,,0,,
400152,冰建筑,3,"[
{
""String"" : ""获得@item_123#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_123"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":430,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":15507,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":32,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":161002,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":163003,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":169002,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":165003,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":167003,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":164003,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":162003,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":160002,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":172026,""RewardTypeShow"":0},
{""Index"":13,""RewardType"":2,""RewardID"":174026,""RewardTypeShow"":0},
{""Index"":14,""RewardType"":2,""RewardID"":161003,""RewardTypeShow"":0},
{""Index"":15,""RewardType"":2,""RewardID"":163003,""RewardTypeShow"":0},
{""Index"":16,""RewardType"":2,""RewardID"":169003,""RewardTypeShow"":0},
{""Index"":17,""RewardType"":2,""RewardID"":165004,""RewardTypeShow"":0},
{""Index"":18,""RewardType"":2,""RewardID"":167004,""RewardTypeShow"":0},
{""Index"":19,""RewardType"":2,""RewardID"":164004,""RewardTypeShow"":0},
{""Index"":20,""RewardType"":2,""RewardID"":162004,""RewardTypeShow"":0},
{""Index"":21,""RewardType"":2,""RewardID"":170026,""RewardTypeShow"":0},
{""Index"":22,""RewardType"":2,""RewardID"":170027,""RewardTypeShow"":0},
{""Index"":23,""RewardType"":2,""RewardID"":171026,""RewardTypeShow"":0},
{""Index"":24,""RewardType"":2,""RewardID"":171027,""RewardTypeShow"":0},
{""Index"":25,""RewardType"":2,""RewardID"":172027,""RewardTypeShow"":0},
{""Index"":26,""RewardType"":2,""RewardID"":174027,""RewardTypeShow"":0},
{""Index"":27,""RewardType"":2,""RewardID"":176026,""RewardTypeShow"":0},
{""Index"":28,""RewardType"":2,""RewardID"":176027,""RewardTypeShow"":0},
{""Index"":29,""RewardType"":2,""RewardID"":163004,""RewardTypeShow"":0},
{""Index"":30,""RewardType"":2,""RewardID"":1102,""RewardTypeShow"":0}
]",1,123,,[],1,,0,,
400153,虚空物品,3,"[
{
""String"" : ""获得@item_200411#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_200411"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":40,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":200389,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":200393,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":200394,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":200396,""RewardTypeShow"":1}
]",1,200411,,[],1,,0,,
400154,爆炸物,3,"[
{
""String"" : ""获得@item_448#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_448"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":11306,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":881,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":12781,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":12280,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":12280,""RewardTypeShow"":1},
{""Index"":6,""RewardType"":2,""RewardID"":15506,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":11424,""RewardTypeShow"":0},
{""Index"":8,""RewardType"":2,""RewardID"":11638,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":12285,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":11631,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":12284,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":13505,""RewardTypeShow"":0}
]",1,448,,[],1,,0,,
400155,荧光灯,3,"[
{
""String"" : ""获得@item_837#@1"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_837"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":550,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":11318,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":1118,""RewardTypeShow"":1},
{""Index"":4,""RewardType"":2,""RewardID"":12589,""RewardTypeShow"":1},
{""Index"":5,""RewardType"":2,""RewardID"":12590,""RewardTypeShow"":1},
{""Index"":7,""RewardType"":2,""RewardID"":945,""RewardTypeShow"":1},
{""Index"":8,""RewardType"":2,""RewardID"":949,""RewardTypeShow"":0},
{""Index"":9,""RewardType"":2,""RewardID"":12830,""RewardTypeShow"":0},
{""Index"":10,""RewardType"":2,""RewardID"":13808,""RewardTypeShow"":0},
{""Index"":11,""RewardType"":2,""RewardID"":1137,""RewardTypeShow"":0},
{""Index"":12,""RewardType"":2,""RewardID"":1146,""RewardTypeShow"":0}
]",1,837,,[],1,,0,,
400156,桃林道具,3,"[
{
""String"" : ""进入桃林生态"",
""UnlockTaskId"" : 0
}
]",,"[
{
""Index"" : 1,
""Type"" : 14,
""GoalID1"" : ""B_BASIN_PEACH"",
""GoalNum"" : 1,
""GoalCount"" : 1,
""GoalShow"" : 1
}
]","[
{""Index"":1,""RewardType"":2,""RewardID"":133,""RewardTypeShow"":1},
{""Index"":2,""RewardType"":2,""RewardID"":723,""RewardTypeShow"":1},
{""Index"":3,""RewardType"":2,""RewardID"":12511,""RewardTypeShow"":1}
]",1,12288,,[],1,,0,,
