id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
80109,叮叮当圣诞树剑（3天）,,,,,,,,,,,,,,6,108,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun108,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80110,发条糖果冲锋枪（3天）,,,,,,,,,,,,,,6,109,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun109,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80111,麋鹿瞄点狙击枪（3天）,,,,,,,,,,,,,,6,110,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun110,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80112,火兔送福冲锋枪（3天）,,,,,,,,,,,,,,6,111,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun111,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80113,火力猛兔镐（3天）,,,,,,,,,,,,,,6,112,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun112,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80114,爆竹迎春重机枪（3天）,,,,,,,,,,,,,,6,113,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun113,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80115,金兔拨浪铲（3天）,,,,,,,,,,,,,,6,114,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun114,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80116,烟火兔兔狙击枪（3天）,,,,,,,,,,,,,,6,115,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun115,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80117,金萝卜利刃斧（3天）,,,,,,,,,,,,,,6,116,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun116,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80118,钻苞飞花冲锋枪（3天）,,,,,,,,,,,,,,6,117,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun117,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80119,粉芯花粽钻头（3天）,,,,,,,,,,,,,,6,118,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun118,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80120,蝉翼薄叶匕（3天）,,,,,,,,,,,,,,6,119,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun119,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80121,新年鞭炮左轮（3天）,,,,,,,,,,,,,,6,120,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun120,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80122,梦旅笙歌狙击枪（3天）,,,,,,,,,,,,,,6,121,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun121,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80123,黄金王牌重机枪（3天）,,,,,,,,,,,,,,6,122,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun122,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80124,蒸汽淘金钻头（3天）,,,,,,,,,,,,,,6,123,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun123,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80125,燃情动力发条剑（3天）,,,,,,,,,,,,,,6,124,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun124,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80126,仙风绕金锤 （3天）,,,,,,,,,,,,,,6,125,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun125,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80127,翠谷晓日狙击枪 （3天）,,,,,,,,,,,,,,6,126,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun126,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80128,岭月红缨刀 （3天）,,,,,,,,,,,,,,6,127,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun127,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80129,弦月流云斧 （3天）,,,,,,,,,,,,,,6,128,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun128,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80130,幽谷云浪铲 （3天）,,,,,,,,,,,,,,6,129,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun129,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80131,云涛圣境左轮 （3天）,,,,,,,,,,,,,,6,130,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun130,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80132,千团细蕊重机枪 （3天）,,,,,,,,,,,,,,6,131,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun131,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80133,牛仔警长冲锋枪 （3天）,,,,,,,,,,,,,,6,132,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun132,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80134,紫阳花月刀 （3天）,,,,,,,,,,,,,,6,133,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun133,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80135,爆爆星冲锋枪（3天）,,,,,,,,,,,,,,6,134,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun134,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80136,版本过低,,,,,,,,,,,,,,6,135,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun135,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80137,版本过低,,,,,,,,,,,,,,6,136,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun136,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80138,版本过低,,,,,,,,,,,,,,6,137,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun137,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80139,版本过低,,,,,,,,,,,,,,6,138,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun138,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80140,版本过低,,,,,,,,,,,,,,6,139,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun139,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80141,琉光潮汐剑（3天）,,,,,,,,,,,,,,6,140,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun140,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80142,沧海月珠冲锋枪（3天）,,,,,,,,,,,,,,6,141,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun141,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80143,鲛人之泪狙击枪（3天）,,,,,,,,,,,,,,6,142,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun142,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80144,蝙蝠之镰（3天）,,,,,,,,,,,,,,6,143,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun143,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80145,星辰破碎斧（3天）,,,,,,,,,,,,,,6,144,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun144,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80146,莲华烈火重机枪（3天）,,,,,,,,,,,,,,6,145,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun145,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80147,莲华疾风剑（3天）,,,,,,,,,,,,,,6,146,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun146,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80148,蒲草青绿铲（3天）,,,,,,,,,,,,,,6,147,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun147,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80149,萌萌恐龙锤（3天）,,,,,,,,,,,,,,6,148,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun148,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80150,赤羽流云重机枪（3天）,,,,,,,,,,,,,,6,149,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun149,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80151,红袖映枫刀（3天）,,,,,,,,,,,,,,6,150,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun150,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80152,花香宝扇铲（3天）,,,,,,,,,,,,,,6,151,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun151,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80153,蓝碧透左轮（3天）,,,,,,,,,,,,,,6,152,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun152,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80154,玄冰古玉剑（3天）,,,,,,,,,,,,,,6,153,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun153,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80155,紫曜星辰手枪（3天）,,,,,,,,,,,,,,6,154,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun154,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80156,湛蓝幻梦锤（3天）,,,,,,,,,,,,,,6,155,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun155,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80157,黄水晶重机枪（3天）,,,,,,,,,,,,,,6,156,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun156,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80158,惑星权杖（3天）,,,,,,,,,,,,,,6,157,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun157,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80159,流年刻度剑（3天）,,,,,,,,,,,,,,6,158,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun158,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80160,流年沙漏锤（3天）,,,,,,,,,,,,,,6,159,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun159,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80161,流年时光重机枪（3天）,,,,,,,,,,,,,,6,160,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun160,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80162,古韵毛笔剑（3天）,,,,,,,,,,,,,,6,161,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun161,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80163,毛笔古韧锤（3天）,,,,,,,,,,,,,,6,162,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun162,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80164,古韵卷轴狙击枪（3天）,,,,,,,,,,,,,,6,163,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun163,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80165,渡梦剑（3天）,,,,,,,,,,,,,,6,164,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun164,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80166,月锦斧（3天）,,,,,,,,,,,,,,6,165,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun165,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80167,赤霄锤（3天）,,,,,,,,,,,,,,6,166,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun166,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80168,圣诞糖果拐杖剑（3天）,,,,,,,,,,,,,,6,167,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun167,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80169,圣诞拳套铲（3天）,,,,,,,,,,,,,,6,168,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun168,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80170,圣诞麋鹿狙击枪（3天）,,,,,,,,,,,,,,6,169,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun169,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80171,碧蓝战狙（3天）,,,,,,,,,,,,,,6,170,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun170,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80172,暗影刃（3天）,,,,,,,,,,,,,,6,171,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun171,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80173,美味铲（3天）,,,,,,,,,,,,,,6,172,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun172,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80174,赤焰火龙重机枪（3天）,,,,,,,,,,,,,,6,173,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun173,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80175,赤龙渊鸣狙击枪（3天）,,,,,,,,,,,,,,6,174,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun174,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80176,轩辕屠龙剑（3天）,,,,,,,,,,,,,,6,175,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun175,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80177,巨龙赤焰斧（3天）,,,,,,,,,,,,,,6,176,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun176,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80178,幻灵焰狙击枪（3天）,,,,,,,,,,,,,,6,177,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun177,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
80179,星空法阵左轮（3天）,,,,,,,,,,,,,,6,178,,5,,,,,,,,,21,0,,,,测试,,,,使用：获得该武器皮肤3天使用时间。如果已经永久解锁了该装扮，则获得一些迷你豆。,,gun178,,,,,0.6,0.6,,200,9999,0,5,,7,,,,,,,,,,,,,,,,,,,,,
